application_number;application_date;registration_date;application_language_code;second_language_code;expiry_date;name
263;018006110;2019-01-03;2019-05-22;en;it;2029-01-03;winmorality
264;018006112;2019-01-03;2019-05-11;en;de;2029-01-03;minijet X
265;018006113;2019-01-03;2019-07-01;en;de;2029-01-03;GAIN EXPRESS
266;018006115;2019-01-03;2019-04-26;en;de;2029-01-03;TOUORIA
267;018006120;2019-01-03;2019-05-22;en;de;2029-01-03;iXclean
268;018006126;2019-01-03;2019-06-22;de;en;2029-01-03;isocurved
269;018006127;2019-01-03;2020-03-03;de;en;2029-01-03;secucurved
270;018006129;2019-01-03;2019-05-07;en;es;2029-01-03;SEMOOD
271;018006130;2019-01-03;2019-06-21;de;en;2029-01-03;isopure
272;018006138;2019-01-03;2019-04-26;en;de;2029-01-03;Haofy
273;018006143;2019-01-03;2019-04-29;cs;en;2029-01-03;REBAGIT
274;018006147;2019-01-03;2019-06-01;en;fr;2029-01-03;HEY BABY!
275;018006148;2019-01-03;2019-07-03;nl;en;2029-01-03;LUCIE BY KING LOUIE
276;018006159;2019-01-03;2019-05-15;da;en;2029-01-03;TuaMea
277;018006161;2019-01-03;2019-06-05;de;en;2029-01-03;Die Tress Brüder
278;018006166;2019-01-03;2019-05-23;nl;en;2029-01-03;SHARON B
279;018006168;2019-01-03;2019-05-14;en;de;2029-01-03;I-SHADE
280;018006169;2019-01-03;2019-06-21;en;fr;2029-01-03;THE BODY SHOP BATH SMOOTHIE
281;018006170;2019-01-03;2019-04-26;sv;en;2029-01-03;Apple Sam
282;018006171;2019-01-03;2019-07-12;nl;en;2029-01-03;ESKA, ARCHITECTS OF IDENTITY MATERIALS SINCE 1879
283;018006173;2019-01-03;2019-09-12;en;it;2029-01-03;KUBER
284;018006174;2019-01-03;2019-04-29;sv;en;2029-01-03;Freddy and friends
285;018006176;2019-01-03;2019-05-23;en;it;2029-01-03;TRILOGY
286;018006177;2019-01-03;2019-05-02;nl;en;2029-01-03;Swyft
287;018006180;2019-01-03;2019-04-29;es;en;2029-01-03;DO-SWEET-DOS
288;018006183;2019-01-03;2019-04-20;es;en;2029-01-03;SWEET GELATO
289;018006184;2019-01-03;2019-06-06;es;en;2029-01-03;RED MANDARINE
290;018006186;2019-01-03;2019-05-29;de;en;2029-01-03;MONIFOX
291;018006187;2019-01-03;2019-05-22;en;fr;2029-01-03;WATERFALL IWS
292;018006188;2019-01-03;2019-05-22;en;de;2029-01-03;RMK KHAOS
293;018006191;2019-01-03;2019-07-11;it;en;2029-01-03;HAFLIGER
294;018006195;2019-01-03;2019-10-26;en;it;2029-01-03;ENLITENED
295;018006196;2019-01-03;2019-06-18;en;it;2029-01-03;ILI LAPTOP STAND
296;018006198;2019-01-03;2019-06-18;en;it;2029-01-03;blauKe
297;018006202;2019-01-03;2019-06-18;en;it;2029-01-03;CDER Group
298;018006203;2019-01-03;2019-04-29;en;de;2029-01-03;SANHUI
299;018006205;2019-01-03;2019-04-29;en;de;2029-01-03;sutelang lurryly
300;018006207;2019-01-03;2019-06-14;en;fr;2029-01-03;Daswasser
301;018006208;2019-01-03;2019-05-31;de;en;2029-01-03;powerflite
302;018006209;2019-01-03;2019-05-22;en;fr;2029-01-03;TINLUNG
303;018006210;2019-01-03;2019-05-16;en;fr;2029-01-03;Matogle
304;018006211;2019-01-03;2019-05-16;en;fr;2029-01-03;AirSMall
305;018006212;2019-01-03;2019-05-16;en;fr;2029-01-03;ZERHOK
306;018006213;2019-01-03;2019-04-30;cs;en;2029-01-03;Spelter
307;018006218;2019-01-04;2019-07-13;da;en;2029-01-04;DEED
308;018006220;2019-01-04;2019-07-13;da;en;2029-01-04;TUKC
309;018006221;2019-01-04;2019-04-30;nl;en;2029-01-04;POKKIT
310;018006222;2019-01-04;2019-07-13;da;en;2029-01-04;AUKC
311;018006223;2019-01-04;2019-07-13;da;en;2029-01-04;FEDD
312;018006225;2019-01-04;2019-07-05;de;en;2029-01-04;NFT National Fighting Team
313;018006229;2019-01-04;2019-07-13;da;en;2029-01-04;P-KnoX
314;018006233;2019-01-04;2019-04-25;pl;en;2029-01-04;NOYEN
315;018006240;2019-01-04;2019-05-01;sv;en;2029-01-04;LIGHTWOOD GOLVABIA
316;018006241;2019-01-04;2019-04-25;pl;en;2029-01-04;KAYMAQ
317;018006242;2019-01-04;2019-04-29;de;en;2029-01-04;Dipro
318;018006245;2019-01-04;2019-04-29;de;en;2029-01-04;Oishii
319;018006246;2019-01-04;2019-05-24;it;en;2029-01-04;SpecificaTOP
320;018006247;2019-01-04;2019-05-28;en;fr;2029-01-04;The Outsiders...poster project
321;018006251;2019-01-04;2019-05-23;fr;en;2029-01-04;DNCA INVEST BEYOND
322;018006253;2019-01-04;2019-05-15;en;fr;2029-01-04;EFFIRIS
323;018006258;2019-01-04;2020-05-22;nl;en;2029-01-04;SUPERPRESTIGE
324;018006260;2019-01-04;2019-09-19;en;fr;2029-01-04;VITAL VUE
325;018006262;2019-01-04;2019-04-25;en;it;2029-01-04;CAVERNARIO
326;018006263;2019-01-04;2019-04-25;en;it;2029-01-04;CABERNARIO
327;018006264;2019-03-06;2019-06-22;it;en;2029-03-06;Liu.Jo BetterDenim
328;018006265;2019-01-04;2019-06-26;en;it;2029-01-04;FLORE QUO
329;018006266;2019-03-06;2019-06-22;it;en;2029-03-06;LIU.JO BetterDenim Less Impact Same Style
330;018006267;2019-01-04;2019-04-29;en;fr;2029-01-04;Celina Blanche
331;018006270;2019-01-04;2019-05-14;fr;en;2029-01-04;LE GALIBIER
332;018006271;2019-01-04;2019-05-24;en;es;2029-01-04;GOLDEN BALLS
333;018006279;2019-01-04;2020-05-22;en;es;2029-01-04;XTRABYTES
334;018006285;2019-01-05;2019-04-30;en;de;2029-01-05;Xsound Go
335;018006287;2019-01-05;2020-02-21;cs;en;2029-01-05;OncoLipidomics
336;018006288;2019-01-05;2019-05-23;it;en;2029-01-05;saemomo
337;018006289;2019-01-05;2019-04-29;de;en;2029-01-05;Trinagon
338;018006290;2019-01-05;2019-04-24;sv;en;2029-01-05;Roomie
339;018006291;2019-01-05;2019-04-24;it;en;2029-01-05;FANIVAMA
340;018006292;2019-01-05;2019-04-29;en;de;2029-01-05;OMI OJO
341;018006293;2019-01-05;2019-04-26;de;en;2029-01-05;Impulsschmiede
342;018006294;2019-01-05;2019-05-22;it;en;2029-01-05;ludimel
343;018006295;2019-01-06;2019-04-25;de;en;2029-01-06;CLINAWE
344;018006296;2019-01-06;2019-04-29;en;it;2029-01-06;BARBOSS
345;018006297;2019-01-06;2019-04-29;de;en;2029-01-06;Vaseberg
346;018006300;2019-01-06;2019-04-25;de;en;2029-01-06;XYPE
